"행정구역별(시군구)","성별","연령별","시점",일반가구원,가구주,가구주의 배우자,자녀,자녀의 배우자,가구주의 부모,배우자의 부모,손자녀 그 배우자,친손자녀·그 배우자,외손자녀·그 배우자,증손자녀·그 배우자,조부모,형제자매·그 배우자,형제자매의 자녀·그 배우자,부모의 형제자매·그 배우자,기타 친·인척,기타 동거인
"전국","계","40~44세","2017",3904060,2017209,1348279,366608,38887,1584,144,-,727,241,X,X,88761,4223,1089,3572,32736
"전국","계","40~44세","2018",3766795,1947093,1291804,362591,35544,1537,39,-,774,276,X,X,83629,4630,980,3475,34423
"전국","계","40~44세","2019",3698794,1911873,1262301,364149,33086,1348,33,-,826,287,X,X,79258,5069,857,3695,36012
"전국","계","40~44세","2020",3753646,1959372,1277946,363563,27929,1230,42,1203,-,-,X,X,74075,5433,716,3484,38653
"전국","계","40~44세","2021",3832964,2024308,1292002,361745,25062,1099,32,1315,-,-,X,X,73207,6311,656,3762,43465
"전국","계","40~44세","2022",3890212,2061724,1296183,373217,24645,955,24,1412,-,-,X,X,72604,7458,562,4065,47363
"전국","계","40~44세","2023",3907718,2073354,1285515,387179,24377,906,37,1607,-,-,X,X,71909,8217,526,4188,49900
"전국","계","40~44세","2024",3785299,2012099,1227088,387151,22878,742,7,1702,-,-,X,X,67688,8743,427,4187,52584
"전국","계","45~49세","2015",4242619,2359535,1495844,212010,31437,18595,761,-,112,50,X,X,85984,1779,2926,3553,30033
"전국","계","45~49세","2016",4350652,2393191,1536446,238727,33650,15750,819,-,126,51,X,X,88813,2021,2793,3450,34815
"전국","계","45~49세","2017",4386047,2412001,1528360,256822,33055,14917,888,-,124,56,X,X,92384,2356,2791,3515,38778
"전국","계","45~49세","2018",4346252,2382823,1501835,270069,31648,14528,442,-,139,67,X,X,93604,2653,2773,3522,42149
"전국","계","45~49세","2019",4289786,2346638,1472584,280437,30590,13850,407,-,161,80,X,X,92012,2882,2659,3673,43813
"전국","계","45~49세","2020",4180070,2300191,1429647,273208,26047,13469,322,236,-,-,X,X,84602,2821,2638,3450,43439
"전국","계","45~49세","2021",4002153,2212757,1361279,260631,22873,12487,232,254,-,-,X,X,78683,3093,2433,3414,44017
"전국","계","45~49세","2022",3892193,2147029,1321738,261234,22122,10749,214,281,-,-,X,X,75619,3434,2176,3503,44094
"전국","계","45~49세","2023",3760321,2072913,1266303,264010,21256,8785,289,310,-,-,X,X,73441,3972,1852,3490,43699
"전국","계","45~49세","2024",3694906,2032090,1237104,271816,20654,7038,79,347,-,-,X,X,71411,4528,1502,3553,44784
"전국","계","50~54세","2015",4119181,2373392,1438609,108286,20673,63680,5309,-,21,14,X,X,69690,845,4306,3575,30781
"전국","계","50~54세","2016",4009442,2313296,1383694,117064,20521,54603,4696,-,29,15,X,X,71127,944,4077,3299,36075
"전국","계","50~54세","2017",3981187,2291345,1373317,122348,20035,51605,4104,-,27,14,X,X,71361,978,3961,3351,38741
"전국","계","50~54세","2018",4052597,2321732,1395899,133499,20054,53646,3028,-,25,9,X,X,73697,1101,4046,3159,42702
"전국","계","50~54세","2019",4169392,2380388,1433240,148007,20620,54330,2717,-,29,8,X,X,75921,1268,4014,3370,45480
"전국","계","50~54세","2020",4223008,2420667,1439466,157825,18708,53901,2100,41,-,-,X,X,74964,1325,3953,3149,46909
"전국","계","50~54세","2021",4336146,2487269,1468237,169170,18243,54824,1712,44,-,-,X,X,77166,1591,4419,3327,50144
"전국","계","50~54세","2022",4371363,2509033,1465197,183334,18648,51162,1458,50,-,-,X,X,80462,1915,4427,3507,52170
"전국","계","50~54세","2023",4336806,2489154,1437899,196871,19034,46305,1489,53,-,-,X,X,83701,2304,4251,3630,52114
"전국","계","50~54세","2024",4284455,2453871,1413139,209177,18971,40470,798,68,-,-,X,X,84651,2622,3932,3772,52984
"전국","계","55~59세","2015",3837143,2232629,1310011,53694,11176,121110,20056,-,7,X,X,16,51913,565,4494,3698,27773
"전국","계","55~59세","2016",4051464,2358937,1380736,61466,12767,119356,19008,-,8,X,X,12,56543,617,4680,3631,33700
"전국","계","55~59세","2017",4141719,2418521,1402689,65148,12880,117299,17548,-,6,5,X,12,59889,630,4960,3767,38365
